Instance Type,g4dn.12xlarge($),t3.2xlarge($),c5a.8xlarge($),c5.xlarge($),t3.xlarge($),mac1($),t2.2xlarge($),t2.xlarge($),c5d.xlarge($),c5($),Total cost ($)
Instance Type Total,23677.92,15095.19584,14897.35821,14820.46227,14597.7592,8793.506,8734.552345,8580.172806,8152.391796,7183.859939,181977.889
2021/6/1,175.392,118.3317147,74.26748466,101.28,108.601869,64.992,42.57518508,36.6754222,60.38808738,21.41357684,1141.413784
2021/6/2,175.392,116.8445903,74.26748466,101.28,108.310669,64.992,59.70043553,42.22575948,60.38808738,21.41357684,1171.504518
2021/6/3,175.392,112.4879977,74.26748466,101.28,108.257869,64.992,37.58124522,37.55506383,60.38808738,21.41357684,1127.042493
2021/6/4,175.392,112.1767078,74.26748466,101.28,107.609869,64.992,38.50284522,39.1991897,60.38808738,21.41357684,1128.645085
2021/6/5,175.392,89.7024,65.68901961,101.28,105.398669,64.992,38.50284522,38.7072,60.38808738,19.08623506,1083.595241
2021/6/6,175.392,89.7024,74.26748466,101.28,105.398669,64.992,38.50284522,38.70151111,60.38808738,19.03852413,1092.068061
2021/6/7,175.392,114.3854173,74.26748466,101.28,109.4772727,64.992,38.50284522,39.2534002,60.38808738,25.30002673,1138.225348
2021/6/8,175.392,112.3748461,74.26748466,101.28,109.4802438,64.992,37.58124522,39.20479472,60.38808738,31.77744321,1142.162051
2021/6/9,175.392,113.7252446,83.58900613,101.28,107.4052723,64.992,38.04204522,39.23569049,60.38808738,31.77744321,1152.103748
2021/6/10,175.392,112.3592498,111.5154847,101.28,113.8633149,64.992,38.50284522,39.21002866,60.38808738,31.77744321,1185.315002
2021/6/11,175.392,112.7384788,111.5154847,101.28,115.3177149,64.992,38.04204522,39.06676844,60.38808738,31.77744321,1187.357867
2021/6/12,175.392,89.7024,111.5154847,101.28,112.4057149,64.992,38.50284522,38.7072,60.38808738,33.82862509,1154.495666
2021/6/13,175.392,89.7024,111.5154847,101.28,112.4057149,64.992,38.50284522,38.7072,60.38808738,34.3684098,1155.146199
2021/6/14,175.392,112.2954208,111.5154847,101.28,115.3177149,64.992,38.50284522,38.4768,60.38808738,34.3684098,1189.703121
2021/6/15,175.392,112.1115497,111.5154847,101.28,115.3177149,64.992,38.50284522,38.7072,60.38808738,34.13222419,1189.625172
2021/6/16,175.392,113.81023,111.5154847,101.28,115.6089149,64.992,55.17035861,45.68,60.38808738,34.3684098,1226.127347
2021/6/17,175.392,112.7384788,111.5154847,101.28,115.5252183,64.992,41.8844574,40.44471111,60.38808738,34.3684098,1198.591329
2021/6/18,175.392,114.0480974,111.5154847,101.28,111.0039658,64.992,38.50284522,38.7072,60.38808738,35.87006095,1187.851927
2021/6/19,175.392,89.7024,111.5154847,101.28,97.23929986,64.992,37.12044522,38.70151111,60.38808738,39.23966709,1140.268705
2021/6/20,175.392,89.7024,111.5154847,101.28,89.98011492,64.992,38.50284522,38.7072,60.38808738,41.94935609,1137.837474
2021/6/21,175.392,117.8611148,111.5154847,101.28,93.76571492,64.992,38.50284522,38.7072,60.38808738,42.14130958,1183.551306
2021/6/22,175.392,114.6300967,111.5154847,101.28,93.18331492,64.992,38.50284522,38.7072,60.38808738,42.14130958,1181.002935
2021/6/23,175.392,114.9413853,111.5154847,101.28,92.71611492,64.992,38.50284522,38.7072,60.38808738,42.14130958,1182.041228
2021/6/24,175.392,113.8371867,111.5154847,101.28,92.71871045,64.992,38.50284522,38.7072,60.38808738,45.44167332,1184.711341
2021/6/25,175.392,114.1591146,111.5154847,101.28,93.18331492,64.992,38.50284522,38.7072,60.38808738,47.32324276,1187.829524
2021/6/26,175.392,89.7024,111.5154847,106.88,86.04732904,64.992,38.50284522,38.70151111,60.38808738,47.32324276,1148.189962
2021/6/27,175.392,89.7024,111.5154847,110.88,84.37371492,64.992,38.50284522,38.7072,60.38808738,47.32324276,1150.770802
2021/6/28,175.392,114.3417776,111.5154847,110.88,87.34331492,64.992,49.61746148,43.9368,60.38808738,47.32324276,1213.195429
2021/6/29,175.392,112.3829452,111.5154847,110.88,87.28571492,64.992,38.50284522,43.25039406,60.38808738,47.32324276,1193.734901
2021/6/30,175.392,110.9278052,111.5154847,110.88,87.28571492,64.992,37.58124522,38.4768,60.38808738,47.32324276,1182.790725
