Region,Asia Pacific (Hong Kong)($),Asia Pacific (Seoul)($),Total cost ($)
Region Total,78618.99932,47957.61736,181977.889
2021/6/1,472.8944821,309.9262173,1141.413784
2021/6/2,472.8944821,310.9233453,1171.504518
2021/6/3,472.8944821,316.1645864,1127.042493
2021/6/4,472.1936821,319.1021574,1128.645085
2021/6/5,461.9886752,319.1597533,1083.595241
2021/6/6,470.5194294,319.1021574,1092.068061
2021/6/7,477.9807356,319.1597533,1138.225348
2021/6/8,484.7783232,318.1805574,1142.162051
2021/6/9,491.7336732,318.6989533,1152.103748
2021/6/10,526.6081943,319.1597533,1185.315002
2021/6/11,528.2249497,318.6989533,1187.357867
2021/6/12,530.5719762,319.1597533,1154.495666
2021/6/13,531.1555609,319.1597533,1155.146199
2021/6/14,531.1555609,318.9293533,1189.703121
2021/6/15,530.8901753,319.1597533,1189.625172
2021/6/16,531.1263609,319.1597533,1226.127347
2021/6/17,531.1555609,319.1021574,1198.591329
2021/6/18,525.4192344,319.1597533,1187.851927
2021/6/19,518.0572032,317.7197574,1140.268705
2021/6/20,513.5077072,319.1597533,1137.837474
2021/6/21,513.6996607,319.1597533,1183.551306
2021/6/22,515.0424607,319.1597533,1181.002935
2021/6/23,514.9336607,319.1597533,1182.041228
2021/6/24,518.3286102,319.1597533,1184.711341
2021/6/25,520.6719939,319.1453533,1187.829524
2021/6/26,521.3175333,319.1021574,1148.189962
2021/6/27,522.8223939,320.1389533,1150.770802
2021/6/28,523.177385,319.1597533,1213.195429
2021/6/29,522.8223939,320.5421533,1193.734901
2021/6/30,522.8108436,319.3145533,1182.790725
2021/7/1,522.9467892,320.0669533,1186.135882
2021/7/2,522.9947283,320.5421533,1194.293612
2021/7/3,522.0511796,320.5421533,1158.496044
2021/7/4,523.5790827,320.5421533,1160.197099
2021/7/5,523.5085939,320.5421533,1199.18194
2021/7/6,523.5231939,320.5421533,1201.539037
2021/7/7,523.5231939,319.3133533,1199.532197
2021/7/8,523.2895939,319.6205533,1195.27844
2021/7/9,523.5231939,319.5449533,1217.355316
2021/7/10,523.5652519,320.0813533,1164.959938
2021/7/11,524.6787242,320.5421533,1171.772978
2021/7/12,526.0042795,320.0813533,1229.383358
2021/7/13,527.4934398,324.9053533,1237.034952
2021/7/14,531.247992,337.1309533,1252.381442
2021/7/15,531.2310398,337.0733533,1252.664571
2021/7/16,530.9974398,337.1309533,1250.266469
2021/7/17,531.2310398,336.1517533,1183.801173
2021/7/18,531.2310398,335.7485533,1216.527793
2021/7/19,531.1878207,336.4397533,1290.511654
2021/7/20,530.9173506,337.1309533,1300.420524
2021/7/21,531.8727639,337.1309533,1271.792233
2021/7/22,531.9910098,336.6701533,1270.507263
2021/7/23,532.2228856,336.6701533,1274.508961
2021/7/24,532.6316856,337.1309533,1235.520963
2021/7/25,532.3980856,336.2093533,1234.365594
2021/7/26,532.6316856,337.1309533,1275.965715
2021/7/27,532.6328131,336.1337533,1269.323841
2021/7/28,530.9806856,337.1309533,1275.635305
2021/7/29,530.6076856,337.1309533,1275.191459
2021/7/30,530.8412856,337.1309533,1275.25663
2021/7/31,530.8412856,336.6701533,1237.655689
2021/8/1,530.8412856,337.1309533,1241.855794
2021/8/2,534.0504736,337.0733533,1287.561875
2021/8/3,535.6728188,336.2093533,1287.27473
2021/8/4,535.6728188,337.1309533,1286.238609
2021/8/5,536.2276188,336.5369533,1286.929019
2021/8/6,537.0744188,337.1309533,1290.148583
2021/8/7,543.4492508,337.1309533,1254.412678
2021/8/8,550.0847222,337.1309533,1260.64653
2021/8/9,553.7552582,337.0733533,1308.272801
2021/8/10,556.5471483,337.0733533,1318.829719
2021/8/11,572.8480044,337.1309533,1326.536772
2021/8/12,573.6650478,337.1309533,1343.421789
2021/8/13,573.6650478,337.0553533,1396.988053
2021/8/14,573.6650478,337.0733533,1310.507752
2021/8/15,573.6650478,337.1309533,1310.565352
2021/8/16,573.6358478,360.1133533,1379.370616
2021/8/17,582.7975162,369.8477533,1412.840869
2021/8/18,620.6106078,370.1933533,1458.61879
2021/8/19,637.7102713,376.7597533,1480.822709
2021/8/20,663.6266478,381.7709533,1512.854702
2021/8/21,665.1146478,382.7501533,1458.45578
2021/8/22,665.1000478,382.7501533,1458.032672
2021/8/23,665.1146478,382.0229533,1514.197213
2021/8/24,665.1146478,382.7501533,1499.646192
2021/8/25,665.0854478,382.6745533,1494.329476
2021/8/26,665.1146478,382.6925533,1487.961545
2021/8/27,650.3789857,382.6925533,1481.856628
2021/8/28,649.2938478,382.2137533,1441.946118
2021/8/29,649.2938478,382.6925533,1442.665759
2021/8/30,649.0602478,382.7501533,1484.04145
2021/8/31,649.5979635,382.6925533,1470.1128
2021/9/1,650.6360937,382.6925533,1468.496924
2021/9/2,650.3587334,382.6925533,1466.120847
2021/9/3,650.6944937,381.2525533,1453.365638
2021/9/4,650.6798937,381.7133533,1440.777936
2021/9/5,650.6778862,382.7501533,1440.85848
2021/9/6,650.3002937,382.2173533,1455.756321
2021/9/7,650.3294937,382.2749533,1453.097928
2021/9/8,650.3440937,398.4916574,1477.009668
2021/9/9,651.8957894,406.7117533,1481.273677
2021/9/10,652.7014603,405.7901533,1485.972224
2021/9/11,652.9350603,406.7117533,1472.663077
